Player Name,FG,FGA,XPT,fpts
Greg Zuerlein LAR,29.9,35.7,43.2,133
Justin Tucker BAL,31,36.4,35,127.9
Stephen Gostkowski NE,27.9,33.3,44.1,127.8
Wil Lutz NO,27.3,32.6,41.9,123.9
Harrison Butker KC,26.4,31.2,42.8,121.9
Ka'imi Fairbairn HOU,28.2,34.5,35.8,120.5
Robbie Gould SF,28,32.3,35.8,119.7
Michael Badgley LAC,26.2,29.9,38.9,117.4
Adam Vinatieri IND,25.2,30.3,40.6,116.1
Austin Seibert CLE,25.2,30.2,39.6,115.2
Taylor Bertolet NYJ,27.6,33,32.1,114.9
Brett Maher DAL,26.1,32.7,35.8,114.2
Mason Crosby GB,26.2,31.8,35,113.7
Matt Prater DET,26.9,31.5,32,112.6
Giorgio Tavecchio ATL,25.3,30.6,36.6,112.6
Jake Elliott PHI,25.2,30.8,36.9,112.4
Graham Gano CAR,24.9,29.7,36.4,111.1
Ryan Succop TEN,26,31.6,33,111.1
Jason Myers SEA,24.8,28.7,36.2,110.5
Aldrick Rosas NYG,25.6,29.5,32,108.9
Matt Gay TB,24.7,29.4,33.9,107.9
Chris Boswell PIT,22.2,27.8,39.8,106.5
Dan Bailey MIN,23.9,31,31.2,102.9
Greg Joseph CLE,22.6,27.7,34.3,102.1
Josh Lambo JAC,24.1,28.1,29.2,101.5
Daniel Carlson OAK,23.9,28.8,29.3,100.9
Brandon McManus DEN,23.3,28,30.5,100.4
Eddy Pineiro CHI,22.3,29.3,33.1,99.9
Dustin Hopkins WAS,23.8,28.4,28.2,99.5
Cairo Santos TB,21.4,28.4,35.1,99.2
Steven Hauschka BUF,23.7,28.2,27.9,98.9
Randy Bullock CIN,22.8,26.7,30,98.4
Jason Sanders MIA,22.5,25.3,28.1,95.7
Elliott Fry CHI,21.3,0,27.7,91.5
Zane Gonzalez ARI,20.8,26.7,28.6,91.1
Tristan Vizcaino CIN,0,0,0,0
Sam Ficken GB,0,0,0,0
